label,RPM,amps_lp,amps_ng,max_surge,Cooling
10,3600,42,38,70,Air
14,3600,58,58,102,Air
18,3600,75,70.8,150,Air
22,3600,92,81,210,Air
24,3600,100,89,220,Air
26,3600,108,93.8,230,Air
22,1800,92,92,135,Liquid
25,3600,104,104,170,Liquid
27,1800,113,104,170,Liquid
30,3600,125,125,180,Liquid
32,1800,133,133,180,Liquid
36,3600,150,150,240,Liquid
38,180,158,158,180,Liquid
45,3600,188,188,240,Liquid
48,1800,200,200,300,Liquid
60,3600,250,250,320,Liquid
60,1800,250,250,413,Liquid
80,1800,312,333,600,Liquid
100,1800,400,400,854,Liquid
130,1800,542,542,854,Liquid
150,1800,583,600,617,Liquid
