zip,elevation_m,Temp
00601,592,90
00602,56,90
00603,124,90
00606,652,90
00610,91,90
00611,453,90
00612,14,90
00616,87,90
00617,50,90
00622,42,90
00623,31,90
00624,53,90
00627,205,90
00631,527,90
00636,99,90
00637,106,90
00638,310,90
00641,144,90
00646,84,90
00647,101,90
00650,266,90
00652,66,90
00653,13,90
00656,179,90
00659,221,90
00660,26,90
00662,102,90
00664,589,90
00667,16,90
00669,395,90
00670,334,90
00674,68,90
00676,78,90
00677,104,90
00678,205,90
00680,41,90
00682,51,90
00683,87,90
00685,116,90
00687,238,90
00688,210,90
00690,72,90
00692,24,90
00693,59,90
00694,5,90
00698,149,90
00703,350,90
00704,9,90
00705,648,90
00707,30,90
00714,54,90
00715,3,90
00716,5,90
00717,14,90
00718,99,90
00719,378,90
00720,790,90
00723,219,90
00725,89,90
00727,156,90
00728,64,90
00729,56,90
00730,34,90
00731,458,90
00735,174,90
00736,578,90
00738,175,90
00739,425,90
00740,4,90
00741,8,90
00745,61,90
00751,38,90
00754,184,90
00757,19,90
00765,49,90
00766,301,90
00767,47,90
00769,190,90
00771,122,90
00772,2,90
00773,93,90
00775,124,90
00777,71,90
00778,45,90
00780,274,90
00782,247,90
00783,338,90
00784,329,90
00786,570,90
00791,15,90
00794,728,90
00795,64,90
00802,19,90
00820,94,90
00830,232,90
00840,161,90
00850,28,90
00851,66,90
00901,11,90
00906,12,90
00907,12,90
00909,10,90
00911,6,90
00912,24,90
00913,0,90
00915,15,90
00917,9,90
00918,9,90
00920,3,90
00921,33,90
00923,12,90
00924,24,90
00925,29,90
00926,109,90
00927,31,90
00934,13,90
00949,71,90
00950,2,90
00951,5,90
00952,14,90
00953,37,90
00956,150,90
00957,54,90
00959,11,90
00960,7,90
00961,26,90
00962,-2,90
00965,1,90
00966,30,90
00968,28,90
00969,25,90
00971,197,90
00976,52,90
00979,3,90
00982,7,90
00983,8,90
00985,7,90
00987,163,90
01001,43,84
01002,141,84
01003,89,84
01005,295,84
01007,167,84
01008,410,84
01009,133,84
01010,213,84
01011,436,84
01012,385,84
01013,50,84
01020,76,84
01022,76,84
01026,431,84
01027,165,84
01028,105,84
01029,451,84
01030,86,84
01031,276,84
01032,465,84
01033,112,84
01034,389,84
01035,49,84
01036,134,84
01037,304,84
01038,51,84
01039,245,84
01040,156,84
01050,288,84
01053,140,84
01054,285,84
01056,78,84
01057,213,84
01060,45,84
01062,146,84
01063,64,84
01066,52,84
01068,320,84
01069,147,84
01070,447,84
01071,318,84
01072,351,84
01073,150,84
01074,188,84
01075,73,84
01077,108,84
01079,158,84
01080,98,84
01081,343,84
01082,229,84
01083,222,84
01084,371,84
01085,92,84
01088,93,84
01089,75,84
01092,219,84
01093,157,84
01094,215,84
01095,168,84
01096,364,84
01097,93,84
01098,460,84
01103,27,84
01104,69,84
01105,28,84
01106,49,84
01107,25,84
01108,69,84
01109,65,84
01118,68,84
01119,69,84
01128,106,84
01129,78,84
01144,41,84
01151,68,84
01201,346,84
01220,254,84
01222,219,84
01223,568,84
01224,325,84
01225,292,84
01226,350,84
01229,388,84
01230,475,84
01235,551,84
01236,327,84
01237,578,84
01238,296,84
01240,369,84
01242,303,84
01243,475,84
01244,389,84
01245,428,84
01247,302,84
01253,446,84
01254,320,84
01255,447,84
01256,658,84
01257,218,84
01258,499,84
01259,442,84
01260,459,84
01262,284,84
01264,278,84
01266,498,84
01267,308,84
01270,637,84
01301,94,84
01330,494,84
01331,372,84
01337,283,84
01338,312,84
01339,267,84
01340,329,84
01341,212,84
01342,41,84
01343,550,84
01344,322,84
01346,534,84
01347,103,84
01349,204,84
01350,642,84
01351,96,84
01354,214,84
01355,290,84
01360,91,84
01364,233,84
01366,323,84
01367,479,84
01368,307,84
01370,157,84
01373,64,84
01375,242,84
01376,103,84
01378,297,84
01379,315,84
01380,318,84
01420,150,84
01430,364,84
01431,301,84
01432,110,84
01434,99,84
01436,258,84
01438,329,84
01440,351,84
01450,97,84
01451,156,84
01452,294,84
01453,119,84
01460,75,84
01462,130,84
01463,99,84
01464,114,84
01468,361,84
01469,109,84
01473,326,84
01474,114,84
01475,372,84
01501,168,84
01503,101,84
01504,89,84
01505,186,84
01506,242,84
01507,267,84
01510,143,84
01515,219,84
01516,197,84
01518,270,84
01519,149,84
01520,236,84
01521,295,84
01522,232,84
01523,78,84
01524,278,84
01525,92,84
01527,168,84
01529,122,84
01531,288,84
01532,95,84
01534,90,84
01535,280,84
01536,126,84
01537,217,84
01540,155,84
01541,359,84
01542,231,84
01543,340,84
01545,188,84
01550,201,84
01560,120,84
01561,81,84
01562,276,84
01564,230,84
01566,181,84
01568,101,84
01569,141,84
01570,157,84
01571,206,84
01581,93,84
01583,147,84
01585,189,84
01588,119,84
01590,250,84
01602,170,84
01603,158,84
01604,151,84
01605,184,84
01606,201,84
01607,134,84
01608,159,84
01609,176,84
01610,137,84
01611,227,84
01612,338,84
01701,66,84
01702,57,84
01718,80,84
01719,101,84
01720,80,84
01721,71,84
01730,59,84
01731,39,84
01740,167,84
01741,90,84
01742,72,84
01745,120,84
01746,115,84
01747,91,84
01748,106,84
01749,78,84
01752,138,84
01754,69,84
01756,112,84
01757,90,84
01760,54,84
01770,58,84
01772,81,84
01773,70,84
01775,68,84
01776,59,84
01778,38,84
01801,38,84
01803,56,84
01810,38,84
01821,62,84
01824,70,84
01826,64,84
01827,71,84
01830,57,84
01832,50,84
01833,47,84
01834,50,84
01835,52,84
01840,21,84
01841,55,84
01843,22,84
01844,50,84
01845,62,84
01850,34,84
01851,62,84
01852,79,84
01854,51,84
01860,40,84
01862,40,84
01863,53,84
01864,52,84
01867,37,84
01876,40,84
01879,49,84
01880,24,84
01886,106,84
01887,29,84
01890,20,84
01901,10,84
01902,31,84
01904,29,84
01905,9,84
01906,17,84
01907,31,84
01908,21,84
01913,35,84
01915,45,84
01921,57,84
01922,3,84
01923,25,84
01929,9,84
01930,3,84
01937,26,84
01938,58,84
01940,45,84
01944,12,84
01945,19,84
01949,30,84
01950,28,84
01951,5,84
01952,2,84
01960,57,84
01965,43,84
01966,42,84
01969,20,84
01970,8,84
01982,26,84
01983,51,84
01984,31,84
01985,63,84
02019,109,84
02021,66,84
02025,32,84
02026,40,84
02030,68,84
02032,48,84
02035,83,84
02038,80,84
02043,17,84
02045,5,84
02047,4,84
02048,47,84
02050,38,84
02052,58,84
02053,73,84
02054,53,84
02056,87,84
02061,44,84
02062,28,84
02066,38,84
02067,81,84
02071,73,84
02072,69,84
02081,47,84
02090,75,84
02093,83,84
02108,13,84
02109,8,84
02110,11,84
02111,10,84
02113,15,84
02114,21,84
02115,12,84
02116,18,84
02118,9,84
02119,34,84
02120,12,84
02121,53,84
02122,18,84
02124,30,84
02125,12,84
02126,25,84
02127,15,84
02128,6,84
02129,16,84
02130,20,84
02131,25,84
02132,43,84
02133,43,84
02134,8,84
02135,30,84
02136,23,84
02138,24,84
02139,8,84
02140,8,84
02141,18,84
02142,7,84
02143,12,84
02144,14,84
02145,9,84
02148,6,84
02149,13,84
02150,12,84
02151,9,84
02152,5,84
02155,15,84
02163,9,84
02169,17,84
02170,10,84
02171,4,84
02176,30,84
02180,52,84
02184,36,84
02186,43,84
02188,43,84
02189,29,84
02190,55,84
02191,15,84
02199,16,84
02203,14,84
02205,19,84
02210,7,84
02215,12,84
02301,45,84
02302,34,84
02322,86,84
02324,38,84
02325,16,84
02330,34,84
02332,17,84
02333,29,84
02338,21,84
02339,38,84
02341,23,84
02343,71,84
02346,35,84
02347,56,84
02350,26,84
02351,56,84
02356,67,84
02357,42,84
02359,18,84
02360,58,84
02364,32,84
02366,41,84
02367,26,84
02368,56,84
02370,41,84
02375,24,84
02379,28,84
02382,35,84
02420,60,84
02421,96,84
02445,57,84
02446,20,84
02451,73,84
02452,63,84
02453,22,84
02457,70,84
02458,23,84
02459,39,84
02460,22,84
02461,40,84
02462,26,84
02464,57,84
02465,19,84
02466,29,84
02467,65,84
02468,43,84
02472,15,84
02474,26,84
02476,88,84
02478,42,84
02481,62,84
02482,56,84
02492,52,84
02493,70,84
02494,50,84
02532,3,84
02534,18,84
02535,5,84
02536,16,84
02537,20,84
02538,17,84
02539,10,84
02540,22,84
02542,55,84
02543,26,84
02553,5,84
02554,2,84
02556,9,84
02557,-2,84
02558,4,84
02559,9,84
02561,43,84
02562,16,84
02563,11,84
02564,9,84
02568,25,84
02571,15,84
02575,10,84
02576,23,84
02584,16,84
02601,16,84
02630,12,84
02631,22,84
02632,20,84
02633,18,84
02635,17,84
02637,7,84
02638,1,84
02639,7,84
02641,10,84
02642,17,84
02643,0,84
02644,45,84
02645,24,84
02646,9,84
02647,4,84
02648,16,84
02649,20,84
02650,21,84
02652,20,84
02653,11,84
02655,3,84
02657,7,84
02659,17,84
02660,18,84
02663,19,84
02664,13,84
02666,22,84
02667,14,84
02668,3,84
02670,7,84
02671,4,84
02672,-1,84
02673,6,84
02675,18,84
02702,52,84
02703,49,84
02713,24,84
02715,36,84
02717,27,84
02718,19,84
02719,9,84
02720,68,84
02721,53,84
02723,63,84
02724,58,84
02725,11,84
02726,30,84
02738,10,84
02739,12,84
02740,28,84
02743,24,84
02744,3,84
02745,24,84
02746,20,84
02747,33,84
02748,5,84
02760,67,84
02762,95,84
02763,48,84
02764,26,84
02766,21,84
02767,36,84
02769,27,84
02770,11,84
02771,21,84
02777,22,84
02779,36,84
02780,23,84
02790,27,84
02791,39,84
02802,51,84
02804,46,84
02806,11,84
02807,5,84
02808,46,84
02809,15,84
02812,49,84
02813,29,84
02814,174,84
02815,144,84
02816,106,84
02817,144,84
02818,42,84
02822,110,84
02823,68,84
02824,88,84
02825,159,84
02826,126,84
02827,157,84
02828,91,84
02829,147,84
02830,161,84
02831,93,84
02832,85,84
02833,121,84
02835,11,84
02836,65,84
02837,21,84
02838,78,84
02839,135,84
02840,7,84
02841,8,84
02842,45,84
02852,16,84
02857,152,84
02858,137,84
02859,198,84
02860,37,84
02861,30,84
02863,32,84
02864,101,84
02865,65,84
02871,55,84
02872,36,84
02873,126,84
02874,81,84
02875,94,84
02876,78,84
02878,50,84
02879,40,84
02881,80,84
02882,31,84
02885,10,84
02886,22,84
02888,22,84
02889,24,84
02891,18,84
02892,43,84
02893,84,84
02894,28,84
02895,45,84
02896,108,84
02898,63,84
02903,14,84
02904,21,84
02905,23,84
02906,33,84
02907,36,84
02908,42,84
02909,22,84
02910,24,84
02911,40,84
02912,37,84
02914,15,84
02915,17,84
02916,19,84
02917,61,84
02918,62,84
02919,74,84
02920,62,84
02921,105,84
03031,100,82
03032,90,82
